종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"010130","고려아연","KOSPI","철강금속","560000","-5000","-0.88","10567200000000"
"002240","고려제강","KOSPI","철강금속","27350","50","0.18","629050000000"
"009290","광동제약","KOSPI","의약품","7870","-50","-0.63","412552097370"
"017040","광명전기","KOSPI","전기전자","3130","-190","-5.72","135646734950"
"017900","광전자","KOSPI","전기전자","3355","130","4.03","194401324865"
"037710","광주신세계","KOSPI","유통업","198000","4000","2.06","316800000000"
"030610","교보증권","KOSPI","증권","8860","-60","-0.67","572828202560"
"339770","교촌에프앤비","KOSPI","유통업","18150","-150","-0.82","453433101000"
"007690","국도화학","KOSPI","화학","68500","-1500","-2.14","617227196000"
"005320","국동","KOSPI","유통업","2615","-70","-2.61","141606269255"
"001140","국보","KOSPI","운수창고업","2260","-230","-9.24","138008122660"
"002720","국제약품","KOSPI","의약품","6190","-90","-1.43","119318997100"
"083420","그린케미칼","KOSPI","화학","11200","-350","-3.03","268800000000"
"014530","극동유화","KOSPI","화학","4465","-75","-1.65","155691960300"
"014280","금강공업","KOSPI","철강금속","7840","-50","-0.63","229942158880"
"014285","금강공업우","KOSPI","철강금속","12850","50","0.39","7579893750"
"008870","금비","KOSPI","비금속광물","70600","800","1.15","70600000000"
"001570","금양","KOSPI","화학","5260","-130","-2.41","255766689960"
"002990","금호건설","KOSPI","건설업","12250","-50","-0.41","448765569000"
"002995","금호건설우","KOSPI","건설업","32150","-100","-0.31","9396351900"
"011780","금호석유","KOSPI","화학","173500","-6000","-3.34","5286144388500"
"011785","금호석유우","KOSPI","화학","112000","-2500","-2.18","338630432000"
"214330","금호에이치티","KOSPI","운수장비","2170","-30","-1.36","298614997660"
"001210","금호전기","KOSPI","전기전자","3760","15","0.40","72140988080"
"073240","금호타이어","KOSPI","화학","5560","-10","-0.18","1597167195720"
"092440","기신정기","KOSPI","기계","4370","-60","-1.35","127604000000"
"000270","기아","KOSPI","운수장비","85000","200","0.24","34455884495000"
"024110","기업은행","KOSPI","은행","11400","-100","-0.87","8485026691800"
"013700","까뮤이앤씨","KOSPI","건설업","2845","-30","-1.04","128458236600"
"004540","깨끗한나라","KOSPI","종이목재","4605","-10","-0.22","171493391265"
"004545","깨끗한나라우","KOSPI","종이목재","23400","0","0.00","8568144000"
"001260","남광토건","KOSPI","건설업","15600","-400","-2.50","153330855600"
"008350","남선알미늄","KOSPI","철강금속","2985","-60","-1.97","328884583650"
"008355","남선알미우","KOSPI","철강금속","25800","-650","-2.46","7943562000"
"004270","남성","KOSPI","유통업","3555","-80","-2.20","128734228800"
"003920","남양유업","KOSPI","음식료품","441500","12000","2.79","317880000000"
"003925","남양유업우","KOSPI","음식료품","201000","9000","4.69","33499062000"
"025860","남해화학","KOSPI","화학","13100","150","1.16","650792843300"
"005720","넥센","KOSPI","화학","5060","10","0.20","270932523620"
"005725","넥센우","KOSPI","화학","3640","15","0.41","13106184000"
"002350","넥센타이어","KOSPI","화학","7750","10","0.13","756926046750"
"002355","넥센타이어1우B","KOSPI","화학","3370","-30","-0.88","21905000000"
