,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
254,017960,한국카본,KOSPI,기계,13900,-250,-1.77,611054522300,431.0,32.25,7114.0,1.95,120,0.86
255,001470,삼부토건,KOSPI,건설업,4415,-185,-4.02,607267214720,61.0,72.38,1531.0,2.88,0,0.0
256,002350,넥센타이어,KOSPI,화학,6170,30,0.49,602610801090,1153.0,5.35,14921.0,0.41,105,1.7
257,003530,한화투자증권,KOSPI,증권,2800,5,0.18,600733770000,511.0,5.48,5265.0,0.53,0,0.0
258,344820,케이씨씨글라스,KOSPI,비금속광물,37550,1200,3.3,599692725600,,,,,0,0.0
259,097230,한진중공업,KOSPI,건설업,7190,-80,-1.1,598742080390,5185.0,1.39,2943.0,2.44,0,0.0
260,005070,코스모신소재,KOSPI,화학,20150,100,0.5,589346494750,,,5026.0,4.01,0,0.0
261,008490,서흥,KOSPI,화학,50500,-100,-0.2,584240206500,2853.0,17.7,25552.0,1.98,400,0.79
262,015350,부산가스,KOSPI,전기가스업,53000,1600,3.11,583000000000,4892.0,10.83,60885.0,0.87,1000,1.89
263,298000,효성화학,KOSPI,화학,182500,2500,1.39,582197995000,27637.0,6.6,142536.0,1.28,5000,2.74
264,268280,미원에스씨,KOSPI,화학,111500,-2000,-1.76,568650000000,7559.0,14.75,47326.0,2.36,1700,1.52
265,005180,빙그레,KOSPI,음식료품,57600,800,1.41,567431481600,4644.0,12.4,57976.0,0.99,1450,2.52
266,000400,롯데손해보험,KOSPI,보험,1815,-10,-0.55,563260420800,,,3112.0,0.58,0,0.0
267,226320,잇츠한불,KOSPI,화학,25350,-450,-1.74,555908135250,,,18789.0,1.35,100,0.39
268,115390,락앤락,KOSPI,화학,10350,-50,-0.48,548629053300,302.0,34.27,12620.0,0.82,0,0.0
269,009290,광동제약,KOSPI,의약품,10400,-150,-1.42,545176850400,582.0,17.87,8069.0,1.29,80,0.77
270,000020,동화약품,KOSPI,의약품,19100,-600,-3.05,533491077000,341.0,56.01,10772.0,1.77,120,0.63
271,034830,한국토지신탁,KOSPI,기타금융,2070,-20,-0.96,522652706100,449.0,4.61,3476.0,0.6,110,5.31
272,030610,교보증권,KOSPI,증권,8080,-60,-0.74,522398631680,2391.0,3.38,26692.0,0.3,400,4.95
273,006390,한일현대시멘트,KOSPI,비금속광물,30600,-450,-1.45,514731474000,2458.0,12.45,12164.0,2.52,1000,3.27
274,003060,에이프로젠제약,KOSPI,의약품,1285,-30,-2.28,512169859310,,,968.0,1.33,0,0.0
275,001720,신영증권,KOSPI,증권,54400,900,1.68,510611292800,2324.0,23.41,69280.0,0.79,2500,4.6
276,008350,남선알미늄,KOSPI,철강금속,4610,-125,-2.64,507925604900,131.0,35.19,1621.0,2.84,0,0.0
277,123890,한국자산신탁,KOSPI,기타금융,4090,-20,-0.49,507069005680,733.0,5.58,5339.0,0.77,200,4.89
278,009970,영원무역홀딩스,KOSPI,기타금융,37100,350,0.95,505880463200,10421.0,3.56,100896.0,0.37,1000,2.7
279,009410,태영건설,KOSPI,건설업,12800,-100,-0.78,497908454400,1326.0,9.65,14630.0,0.87,150,1.17
280,195870,해성디에스,KOSPI,전기전자,29050,5250,22.06,493850000000,1078.0,26.95,12267.0,2.37,350,1.2
281,322000,현대에너지솔루션,KOSPI,전기전자,43850,700,1.62,491120000000,2788.0,15.73,28380.0,1.55,0,0.0
282,009680,모토닉,KOSPI,운수장비,14800,100,0.68,488400000000,514.0,28.79,12362.0,1.2,300,2.03
283,145720,덴티움,KOSPI,의료정밀,44100,-250,-0.56,488135403000,1714.0,25.73,18695.0,2.36,0,0.0
284,024720,한국콜마홀딩스,KOSPI,기타금융,26050,100,0.39,483923529950,2364.0,11.02,22998.0,1.13,195,0.75
285,003070,코오롱글로벌,KOSPI,건설업,19100,-300,-1.55,481519365800,1922.0,9.94,18259.0,1.05,350,1.83
286,339770,교촌에프앤비,KOSPI,유통업,19150,-200,-1.03,478415641000,1411.0,13.57,3835.0,4.99,96,0.5
287,249420,일동제약,KOSPI,의약품,20000,-550,-2.68,476065700000,,,10643.0,1.88,0,0.0
288,060980,한라홀딩스,KOSPI,기타금융,45300,4850,11.99,474384771000,3921.0,11.55,84613.0,0.54,2000,4.42
289,010050,우리종금,KOSPI,기타금융,542,-3,-0.55,473818246052,78.0,6.95,536.0,1.01,0,0.0
290,027410,BGF,KOSPI,기타금융,4905,-25,-0.51,469490859855,281.0,17.46,15699.0,0.31,110,2.24
291,138250,엔에스쇼핑,KOSPI,유통업,13800,-500,-3.5,465004800000,,,12609.0,1.09,150,1.09
