,종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
912,009470,삼화전기,23250,900,4.03,460.0,50.54,6665.0,3.49,100,0.43
913,011230,삼화전자,4200,175,4.35,,,1132.0,3.71,0,0.0
914,001820,삼화콘덴서,71800,4300,6.37,2889.0,24.85,14698.0,4.89,250,0.35
915,000390,삼화페인트,14950,-1800,-10.75,167.0,89.52,10625.0,1.41,125,0.84
916,027580,상보,1285,-45,-3.38,,,631.0,2.04,0,0.0
917,038540,상상인,6890,90,1.32,2282.0,3.02,9501.0,0.73,200,2.9
918,307870,상상인이안1호스팩,2025,0,0.0,,,,,0,0.0
919,329560,상상인이안제2호스팩,2010,-10,-0.5,,,,,0,0.0
920,101000,상상인인더스트리,815,7,0.87,,,400.0,2.04,0,0.0
921,001290,상상인증권,1145,-10,-0.87,,,1587.0,0.72,0,0.0
922,041650,상신브레이크,3745,-70,-1.83,210.0,17.83,7924.0,0.47,100,2.67
923,091580,상신이디피,14900,0,0.0,380.0,39.21,4905.0,3.04,50,0.34
924,263810,상신전자,4800,-150,-3.03,176.0,27.27,2424.0,1.98,0,0.0
925,089980,상아프론테크,49550,-750,-1.49,842.0,58.85,9392.0,5.28,160,0.32
926,042940,상지카일룸,1160,-20,-1.69,,,1064.0,1.09,0,0.0
927,042600,새로닉스,14600,200,1.39,,,6449.0,2.26,40,0.27
928,075180,새론오토모티브,6240,-10,-0.16,,,11092.0,0.56,140,2.24
929,263540,샘코,2015,0,0.0,,,1101.0,1.83,0,0.0
930,007540,샘표,49750,0,0.0,5441.0,9.14,56153.0,0.89,200,0.4
931,248170,샘표식품,56300,900,1.62,5872.0,9.59,34375.0,1.64,200,0.36
932,294630,서남,3760,-25,-0.66,,,357.0,10.53,0,0.0
933,038070,서린바이오,16300,-1300,-7.39,1107.0,14.72,7213.0,2.26,100,0.61
934,006730,서부T&D,8470,-150,-1.74,1.0,8470.0,11369.0,0.75,0,0.0
935,079650,서산,2510,100,4.15,,,3526.0,0.71,0,0.0
936,100660,서암기계공업,6730,-90,-1.32,173.0,38.9,4891.0,1.38,50,0.74
