,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
190,014280,금강공업,KOSPI,철강금속,7940,100,1.28,232875094580
191,014285,금강공업우,KOSPI,철강금속,12850,0,0.0,7579893750
192,008870,금비,KOSPI,비금속광물,70600,0,0.0,70600000000
193,001570,금양,KOSPI,화학,5190,-70,-1.33,252362950740
194,002990,금호건설,KOSPI,건설업,12100,-150,-1.22,443270480400
195,002995,금호건설우,KOSPI,건설업,32100,-50,-0.16,9381738600
196,011780,금호석유,KOSPI,화학,173000,-500,-0.29,5270910543000
197,011785,금호석유우,KOSPI,화학,112000,0,0.0,338630432000
198,214330,금호에이치티,KOSPI,운수장비,2165,-5,-0.23,297926944670
199,001210,금호전기,KOSPI,전기전자,3795,35,0.93,72812513235
200,073240,금호타이어,KOSPI,화학,5480,-80,-1.44,1574186372760
201,092440,기신정기,KOSPI,기계,4350,-20,-0.46,127020000000
202,000270,기아,KOSPI,운수장비,86000,1000,1.18,34861247842000
203,024110,기업은행,KOSPI,은행,11150,-250,-2.19,8298951545050
204,013700,까뮤이앤씨,KOSPI,건설업,2830,-15,-0.53,127780952400
205,004540,깨끗한나라,KOSPI,종이목재,4545,-60,-1.3,169258949685
206,004545,깨끗한나라우,KOSPI,종이목재,23250,-150,-0.64,8513220000
207,001260,남광토건,KOSPI,건설업,15350,-250,-1.6,150873630350
208,008350,남선알미늄,KOSPI,철강금속,2970,-15,-0.5,327231897300
209,008355,남선알미우,KOSPI,철강금속,25900,100,0.39,7974351000
210,004270,남성,KOSPI,유통업,3420,-135,-3.8,123845587200
211,003920,남양유업,KOSPI,음식료품,495000,53500,12.12,356400000000
212,003925,남양유업우,KOSPI,음식료품,246000,45000,22.39,40998852000
213,025860,남해화학,KOSPI,화학,12950,-150,-1.15,643341016850
214,005720,넥센,KOSPI,화학,5010,-50,-0.99,268255324770
215,005725,넥센우,KOSPI,화학,3635,-5,-0.14,13088181000
216,002350,넥센타이어,KOSPI,화학,7660,-90,-1.16,748135937820
217,002355,넥센타이어1우B,KOSPI,화학,3365,-5,-0.15,21872500000
218,003580,넥스트사이언스,KOSPI,광업,18950,-50,-0.26,794305111150
219,251270,넷마블,KOSPI,서비스업,123500,-5500,-4.26,10615257497000
